"day_id","day_name","minutes"
"5","Friday   ","73527.60828333384"
"1","Monday   ","70995.39756666646"
"4","Thursday ","66734.17754999985"
"2","Tuesday  ","66072.39860000006"
"6","Saturday ","63727.08538333364"
"3","Wednesday","61413.378016667026"
"7","Sunday   ","60366.07516666679"
